ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,25,1,49,91107,4,1.60,1,0,0,1,0,0,0
2,45,19,34,90089,3,1.50,1,0,0,1,0,0,0
3,39,15,11,94720,1,1.00,1,0,0,0,0,0,0
4,35,9,100,94112,1,2.70,2,0,0,0,0,0,0
5,35,8,45,91330,4,1.00,2,0,0,0,0,0,1
6,37,13,29,92121,4,0.40,2,155,0,0,0,1,0
7,53,27,72,91711,2,1.50,2,0,0,0,0,1,0
8,50,24,22,93943,1,0.30,3,0,0,0,0,0,1
9,35,10,81,90089,3,0.60,2,104,0,0,0,1,0
10,34,9,180,93023,1,8.90,3,0,1,0,0,0,0
11,65,39,105,94710,4,2.40,3,0,0,0,0,0,0
12,29,5,45,90277,3,0.10,2,0,0,0,0,1,0
13,48,23,114,93106,2,3.80,3,0,0,1,0,0,0
14,59,32,40,94920,4,2.50,2,0,0,0,0,1,0
15,67,41,112,91741,1,2.00,1,0,0,1,0,0,0
16,60,30,22,95054,1,1.50,3,0,0,0,0,1,1
17,38,14,130,95010,4,4.70,3,134,1,0,0,0,0
18,42,18,81,94305,4,2.40,1,0,0,0,0,0,0
19,46,21,193,91604,2,8.10,3,0,1,0,0,0,0
20,55,28,21,94720,1,0.50,2,0,0,1,0,0,1
21,56,31,25,94015,4,0.90,2,111,0,0,0,1,0
22,57,27,63,90095,3,2.00,3,0,0,0,0,1,0
23,29,5,62,90277,1,1.20,1,260,0,0,0,1,0
24,44,18,43,91320,2,0.70,1,163,0,1,0,0,0
25,36,11,152,95521,2,3.90,1,159,0,0,0,0,1
26,43,19,29,94305,3,0.50,1,97,0,0,0,1,0
27,40,16,83,95064,4,0.20,3,0,0,0,0,0,0
28,46,20,158,90064,1,2.40,1,0,0,0,0,1,1
29,56,30,48,94539,1,2.20,3,0,0,0,0,1,1
30,38,13,119,94104,1,3.30,2,0,1,0,1,1,1
31,59,35,35,93106,1,1.20,3,122,0,0,0,1,0
32,40,16,29,94117,1,2.00,2,0,0,0,0,1,0
33,53,28,41,94801,2,0.60,3,193,0,0,0,0,0
34,30,6,18,91330,3,0.90,3,0,0,0,0,0,0
35,31,5,50,94035,4,1.80,3,0,0,0,0,1,0
36,48,24,81,92647,3,0.70,1,0,0,0,0,0,0
37,59,35,121,94720,1,2.90,1,0,0,0,0,0,1
38,51,25,71,95814,1,1.40,3,198,0,0,0,0,0
39,42,18,141,94114,3,5.00,3,0,1,1,1,1,0
40,38,13,80,94115,4,0.70,3,285,0,0,0,1,0
41,57,32,84,92672,3,1.60,3,0,0,1,0,0,0
42,34,9,60,94122,3,2.30,1,0,0,0,0,0,0
43,32,7,132,90019,4,1.10,2,412,1,0,0,1,0
44,39,15,45,95616,1,0.70,1,0,0,0,0,1,0
45,46,20,104,94065,1,5.70,1,0,0,0,0,1,1
46,57,31,52,94720,4,2.50,1,0,0,0,0,0,1
47,39,14,43,95014,3,0.70,2,153,0,0,0,1,0
48,37,12,194,91380,4,0.20,3,211,1,1,1,1,1
49,56,26,81,95747,2,4.50,3,0,0,0,0,0,1
50,40,16,49,92373,1,1.80,1,0,0,0,0,0,1
51,32,8,8,92093,4,0.70,2,0,0,1,0,1,0
52,61,37,131,94720,1,2.90,1,0,0,0,0,1,0
53,30,6,72,94005,1,0.10,1,207,0,0,0,0,0
54,50,26,190,90245,3,2.10,3,240,1,0,0,1,0
55,29,5,44,95819,1,0.20,3,0,0,0,0,1,0
56,41,17,139,94022,2,8.00,1,0,0,0,0,1,0
57,55,30,29,94005,3,0.10,2,0,0,1,1,1,0
58,56,31,131,95616,2,1.20,3,0,1,0,0,0,0
59,28,2,93,94065,2,0.20,1,0,0,0,0,0,0
60,31,5,188,91320,2,4.50,1,455,0,0,0,0,0
61,49,24,39,90404,3,1.70,2,0,0,1,0,1,0
62,47,21,125,93407,1,5.70,1,112,0,1,0,0,0
63,42,18,22,90089,1,1.00,1,0,0,0,0,0,0
64,42,17,32,94523,4,0.00,2,0,0,0,0,1,0
65,47,23,105,90024,2,3.30,1,0,0,0,0,0,0
66,59,35,131,91360,1,3.80,1,0,0,0,0,1,1
67,62,36,105,95670,2,2.80,1,336,0,0,0,0,0
161,29,0,134,95819,4,6.50,3,0,1,0,0,0,0
175,42,17,168,95503,2,7.90,2,0,1,0,0,1,0
184,29,3,148,92173,3,4.10,1,0,1,0,0,1,0
188,46,21,159,94305,3,1.90,3,315,1,0,0,1,0
200,36,11,158,92152,1,5.10,3,0,1,0,1,1,1
210,64,39,172,94707,4,3.10,1,282,1,0,1,1,1
244,65,39,170,90095,3,7.90,3,99,1,0,1,1,0
248,53,29,120,92626,4,2.70,2,111,1,1,1,1,0
252,54,28,170,92182,2,6.20,2,325,1,0,0,1,0
255,65,41,134,91942,3,3.90,3,121,1,0,0,1,0
262,42,16,111,93106,2,1.20,3,251,1,0,0,1,0
300,41,15,159,90057,1,5.50,3,0,1,0,1,1,0
304,49,25,195,95605,4,3.00,1,617,1,0,0,0,0
317,57,31,165,95054,1,1.60,2,0,1,0,0,1,0
318,40,16,119,91335,2,4.20,2,0,1,0,0,1,0
322,44,20,101,92717,3,4.40,2,82,1,0,0,0,0
323,63,39,101,92007,1,3.90,1,0,1,1,1,1,0
324,59,34,99,90034,1,4.40,1,0,1,0,0,0,0
325,56,30,158,90089,4,6.10,1,0,1,0,0,0,0
349,40,15,173,95060,4,6.60,1,0,1,0,1,1,1
350,26,2,60,93407,2,3.00,1,132,1,0,0,0,0
351,39,14,113,94301,1,1.00,3,0,0,1,0,1,0
352,28,4,155,92182,4,5.30,2,0,1,0,0,1,0
463,29,4,183,91423,3,8.30,3,0,1,0,0,1,0
464,48,22,149,94928,2,5.50,2,0,1,1,1,1,0
465,43,19,83,94305,4,3.60,3,0,1,0,0,0,1
474,64,39,182,93955,1,1.20,2,547,1,0,0,1,0
475,60,34,114,90028,2,6.90,1,0,0,0,0,1,0
476,43,19,152,92008,3,6.10,2,0,1,0,0,0,0
483,56,32,173,94022,1,4.60,2,88,1,0,1,1,0
506,36,12,69,94305,3,3.10,2,0,1,0,0,1,0
529,64,39,122,90089,4,0.20,1,378,1,0,0,1,0
538,44,20,131,90717,1,4.90,3,0,1,0,0,1,0
567,53,28,175,95060,3,3.60,3,0,1,0,1,1,1
568,34,8,28,95112,3,0.90,1,0,0,0,0,0,0
569,34,9,41,92101,2,0.10,1,161,0,0,0,1,1
570,40,14,70,95136,3,2.10,1,185,0,0,0,0,0
651,47,22,122,90037,1,5.10,3,163,1,1,0,0,0
652,28,4,58,92121,3,1.50,1,131,0,0,0,0,0
653,34,9,92,90005,1,2.80,1,0,0,0,0,1,0
654,49,23,78,92691,2,2.40,2,205,0,0,0,0,1
663,65,41,185,93561,3,2.00,2,0,1,0,0,0,0
737,61,35,152,91016,3,3.30,3,0,1,0,0,1,0
771,26,2,172,94551,2,6.90,2,0,1,0,0,1,0
772,42,18,71,91614,3,2.33,1,106,0,1,0,1,0
773,54,28,165,92093,1,4.10,3,0,1,0,1,1,1
897,50,24,161,95133,3,3.40,1,212,1,0,0,1,0
898,62,37,21,92691,4,0.40,2,137,0,0,0,1,1
899,57,32,63,94111,4,0.70,1,0,0,0,0,1,0
900,30,3,172,91302,3,3.40,2,0,1,0,0,0,1
901,30,4,51,94709,4,0.20,1,172,0,0,0,0,1
902,57,33,24,95616,4,0.70,1,0,0,0,0,1,0
903,57,33,95,95054,2,1.60,1,0,0,0,0,0,0
904,43,18,59,90048,1,2.40,1,250,0,0,0,1,0
913,35,10,78,94105,1,2.60,2,0,0,0,0,1,0
914,57,32,34,92507,2,2.00,2,0,0,1,0,0,0
915,65,41,195,91711,3,0.40,1,0,1,1,1,0,1
916,53,28,184,94550,1,8.10,1,303,0,0,0,1,0
928,65,40,95,95014,3,3.70,2,138,1,0,0,0,1
929,35,10,74,90638,4,1.30,1,0,0,0,0,1,0
930,55,30,22,92121,1,1.50,2,91,0,0,0,0,1
931,28,4,43,92103,3,0.10,2,0,0,0,0,1,0
932,27,3,43,91302,1,1.00,3,0,0,0,0,1,0
933,51,27,112,94720,3,1.80,2,0,0,1,1,1,1
934,50,23,9,92064,2,1.00,2,0,0,0,0,1,0
935,58,33,81,91320,2,0.00,3,0,0,0,0,1,0
936,46,20,131,95929,1,5.70,1,256,0,0,0,0,1
937,62,32,19,92109,1,1.50,3,0,0,1,0,0,0
938,38,13,62,92093,3,0.70,2,0,0,1,0,1,0
939,62,37,19,95818,4,0.40,2,124,0,1,0,0,0
940,56,32,8,93943,2,0.30,1,0,0,0,0,1,1
941,61,36,193,94303,1,4.70,3,203,1,0,0,1,0
942,38,13,129,92093,4,4.40,1,140,1,0,0,0,0
943,55,29,30,91320,4,0.70,2,0,0,0,0,0,1
944,30,4,80,94701,4,1.80,2,0,0,0,0,0,0
945,41,15,22,90503,4,1.50,3,0,0,0,0,0,1
946,57,32,33,91745,1,1.50,2,0,0,0,0,1,0
947,36,11,64,91355,4,2.10,3,0,0,0,0,0,0
948,55,29,60,94305,3,2.20,3,84,0,0,0,1,0
949,30,4,81,92037,1,2.90,3,259,0,0,0,1,1
950,40,16,45,94720,3,0.60,2,204,0,0,0,1,0
951,32,6,112,95054,4,1.80,2,0,0,0,0,1,0
952,59,34,83,94105,2,3.40,3,0,1,0,0,1,0
953,44,20,180,93943,2,7.60,1,524,0,0,0,0,1
954,51,26,28,92130,4,0.20,2,0,0,1,0,1,0
955,37,12,169,91107,2,5.20,3,249,1,0,0,1,0
956,59,35,14,90840,4,0.70,1,0,0,0,0,1,0
957,37,11,43,90250,1,2.00,1,0,0,0,0,1,0
958,56,32,88,94309,2,0.30,1,0,0,0,0,1,0
959,55,29,78,90747,4,2.60,3,0,0,0,0,0,1
960,49,24,68,94143,1,0.20,2,163,0,0,0,0,0
961,46,22,144,93611,2,3.30,1,0,0,0,0,1,1
962,35,9,30,94114,4,1.00,1,163,0,0,0,1,0
963,47,21,120,95833,1,0.00,1,135,0,0,0,0,0
964,39,14,24,94305,2,0.30,2,0,0,0,0,0,0
965,27,1,78,92037,4,2.30,3,157,0,1,0,1,0
966,62,36,135,94301,2,5.20,2,0,1,0,0,1,0
967,57,32,44,91605,2,1.60,3,0,0,0,0,0,0
968,55,30,73,92675,4,3.80,2,0,0,0,0,1,0
969,55,31,90,92868,1,2.70,2,0,0,0,0,1,1
970,41,15,58,94704,3,0.50,3,0,0,0,0,1,0
971,57,32,75,94928,2,3.70,1,236,0,0,0,1,0
972,43,19,174,92028,3,1.70,3,231,1,0,1,1,1
973,40,16,50,92093,2,1.70,1,174,0,0,0,0,0
974,43,18,85,92703,1,4.00,3,287,0,0,0,1,0
975,63,38,54,90401,3,2.20,1,0,0,0,0,1,0
976,63,38,83,92122,2,3.40,1,0,1,0,0,0,0
977,54,30,24,94109,4,0.20,1,0,0,1,0,0,0
978,54,30,45,95134,4,1.10,2,205,0,0,0,1,0
979,52,26,68,92068,1,0.80,3,0,0,0,0,1,1
980,50,26,48,94720,4,0.10,3,0,0,0,0,0,1
981,38,13,114,92697,1,1.00,3,0,0,0,0,1,1
982,36,12,142,90064,3,2.30,2,0,1,0,1,1,1
993,34,9,93,94608,1,0.00,1,0,0,0,0,1,0
994,41,15,185,91775,1,3.60,2,0,1,0,0,0,0
1006,38,12,138,95112,2,0.00,1,0,0,1,0,1,0
1007,63,38,103,91103,1,2.50,1,0,0,0,0,1,0
1008,44,19,99,95064,3,3.50,3,357,1,0,0,0,0
1009,50,24,152,92220,1,7.30,1,0,0,0,0,1,0
1010,28,3,25,91330,2,0.90,3,140,0,0,0,1,0
1011,27,3,98,95616,2,2.50,1,361,0,1,1,1,1
1012,52,27,39,94304,2,0.70,2,166,0,0,0,1,0
1013,50,25,40,95820,1,1.30,2,0,0,0,0,1,1
1014,39,13,58,94551,3,2.10,1,169,0,0,0,1,0
1015,50,26,192,90245,2,1.80,3,301,1,0,1,1,1
1016,60,34,62,94303,1,0.80,2,0,0,0,0,0,0
1017,30,5,69,94720,1,0.80,2,0,0,1,0,1,0
1018,31,5,40,94305,4,1.30,3,170,0,0,0,0,0
1019,39,15,61,90018,2,0.60,3,127,0,0,0,0,0
1020,29,3,30,91745,4,0.30,2,157,0,0,0,0,0
4378,33,8,145,92507,1,2.70,3,0,1,0,0,1,0
4415,33,8,178,94720,3,8.50,1,0,1,1,1,1,0
4419,59,34,145,95125,4,1.80,1,198,1,0,0,1,0
4423,57,31,164,94607,2,3.80,3,422,1,0,1,1,1
4440,33,7,104,94542,2,3.60,3,0,1,0,0,0,1
4471,44,20,111,91911,2,5.30,2,0,1,0,0,1,0
4495,29,4,182,95354,1,3.70,3,0,1,0,0,1,0
4533,48,22,133,90073,2,3.10,2,0,1,0,0,1,0
4591,58,34,151,94022,3,0.60,2,0,1,0,0,0,0
4656,33,7,188,95054,2,7.00,2,581,1,0,0,0,0
4699,48,22,162,94143,3,1.40,1,400,1,0,0,0,0
4703,35,5,108,90630,2,2.75,3,0,1,1,0,0,0
4706,61,37,141,92677,3,0.70,1,0,1,0,1,1,1
4720,32,8,140,94102,4,6.60,3,0,1,0,1,0,1
4764,51,25,173,95051,1,0.50,2,0,1,0,0,1,0
4791,35,11,101,94143,3,3.80,3,150,1,0,0,1,0
4812,36,12,123,90502,2,3.00,3,0,1,0,0,0,0
4813,29,4,184,92126,4,2.20,3,612,1,0,0,1,0
4843,49,23,174,95449,3,4.60,2,590,1,0,0,0,0
4847,35,10,135,94596,3,4.80,2,0,1,0,0,1,0
4859,50,24,62,94550,2,0.80,3,0,0,0,0,1,0
4860,34,8,165,91107,1,7.00,3,541,1,0,0,0,0
4876,61,36,54,94539,3,1.50,1,0,0,0,0,1,0
4877,44,19,142,95054,1,1.50,3,0,1,0,0,0,0
4928,43,19,121,94720,1,0.70,2,0,1,0,1,1,1
4942,28,4,112,90049,2,1.60,2,0,1,0,0,1,0
4963,46,20,122,90065,3,3.00,3,0,1,0,1,1,1
4981,29,5,135,95762,3,5.30,1,0,1,0,1,1,1
